tradition,title,author,note,menu_role,translator,amazon_classics_url
Russian 19th century,Anna Karenina,Leo Tolstoy,Masterclass on self-deception. Propulsive despite the length.,anchor,No strong consensus — Pevear/Volokhonsky or Maude.,https://www.amazon.com/dp/B07YWRTHMC
Russian 19th century,The Death of Ivan Ilyich,Leo Tolstoy,Short novella on dying and what mattered. Devastating.,anchor-alt,No strong consensus — Pevear/Volokhonsky or Maude.,
Russian 19th century,Chekhov's Selected Stories,Anton Chekhov,"The short story as he essentially invented it. Quiet, devastating.",sampler,No strong consensus — Constance Garnett or Pevear/Volokhonsky.,https://www.amazon.com/dp/B07VJHJYYK
Russian 19th century,Fathers and Sons,Ivan Turgenev,Generational conflict; shorter and more accessible than the giants.,sampler,Doesn't matter much.,
Russian 19th century,Notes from Underground,Fyodor Dostoevsky,"Short (~150pp), intense, foundational. The more demanding option.",sampler,Pevear/Volokhonsky is the modern default.,https://www.amazon.com/dp/B0756XHTQ5
Mid-century Japanese,Kokoro,Natsume Soseki,"Formal restraint, friendship and shame, generational change.",anchor-alt,Edwin McClellan.,
Mid-century Japanese,Snow Country,Yasunari Kawabata,"Atmospheric, slim, geisha and ennui.",sampler,Edward Seidensticker.,
Mid-century Japanese,The Makioka Sisters,Junichiro Tanizaki,"Long family saga, Osaka before WWII.",anchor,Edward Seidensticker.,
Mid-century Japanese,The Sailor Who Fell from Grace with the Sea,Yukio Mishima,"Controlled, disturbing, short.",sampler,John Nathan (only major translation).,
Mid-century Japanese,The Woman in the Dunes,Kobo Abe,Surreal/existentialist; nightmare with sand. Fills non-realist gap.,sampler,E. Dale Saunders (only major translation).,
Latin American boom,One Hundred Years of Solitude,Gabriel Garcia Marquez,"The anchor. Family curse, mythic time, the Buendías.",anchor,Gregory Rabassa (García Márquez said better than the original).,
Latin American boom,Ficciones,Jorge Luis Borges,"Short stories. Labyrinths, mirrors, infinite libraries. Gateway.",sampler,No strong consensus — Kerrigan (Grove Ficciones) or Hurley (Penguin Collected Fictions).,
Latin American boom,Aunt Julia and the Scriptwriter,Mario Vargas Llosa,"Funny, narratively driven, autobiographical.",sampler,Helen Lane (only major translation).,
Latin American boom,Pedro Páramo,Juan Rulfo,"Very short (~120pp), foundational. Direct influence on García Márquez.",sampler,Margaret Sayers Peden long the standard; Douglas J. Weatherford (2023) also well-received.,
Latin American boom,By Night in Chile,Roberto Bolano,"Short, hallucinatory. Post-boom but adjacent.",sampler,Chris Andrews (only major translation).,
19th-century realism (mostly French),Madame Bovary,Gustave Flaubert,The masterwork on self-deception. Built for you.,anchor,"No strong consensus — Lydia Davis (prestige modern), Steegmuller, or Geoffrey Wall.",https://www.amazon.com/dp/B074J8BQ2W
19th-century realism (mostly French),The Red and the Black,Stendhal,Ambition and self-deception in post-Napoleonic France.,sampler,Doesn't matter much.,
19th-century realism (mostly French),Middlemarch,George Eliot,The bigger English anchor — but it eats the quarter if you commit.,anchor-alt,,https://www.amazon.com/dp/B086SW7TVG
19th-century realism (mostly French),Pere Goriot,Honoré de Balzac,"Paris, ambition, gateway to the Comédie humaine.",sampler,Doesn't matter much.,
19th-century realism (mostly French),Washington Square,Henry James,"Short, sharp. Continuous with Wharton's tradition.",sampler,,https://www.amazon.com/dp/B0834VHMM5
Contemporary,Bewilderment,Richard Powers,"Father-son, neuroscience and grief; a tighter, slimmer Powers than the doorstops.",sampler,,
Contemporary,Lila,Marilynne Robinson,Quiet Calvinist interiority; Gilead from the outside in.,sampler,,
Contemporary,The Buried Giant,Kazuo Ishiguro,Post-Arthurian fog of memory; Ishiguro pushed into allegory.,sampler,,
